#,location,Dimensions,rooms,square footage,condition,price,week,active,Property_Type,Property Features,on_market,address,Zoning
102,59/16,16x63 on 24x100,5,2600,,2.7m,1,Yes,,,New-True,1634 59,
103,Low 60’s/18,22x35 on 30x,5,2100,,1.85m,1,No,,,old-false,1838 63rd,
104,Low 60’s/20,16x47 on 24x92,5,2256,,1.65,1,No,,,old-false,2016-63,
105,Hi 50’s/19,20x70 on 20x100,5,3800,,4.6m,1,Yes,,,old-false,1933-59,
106,Hi 30’s/12,18x60 on25x100,6,3200,,2.3,1,No,,,New-True,1258 38,
107,Low 40’s/17,17x55 on20x100,4,2200,,2.3m,2,Yes,,,New-True,1674 42,
108,Mid 50’s/11,20x55 on 20x100,4,2800,,2.5m,2,No,,,New-True,1074 53rd,
109,Mid 50's/18,17x30 on 17x98,3,1500,,1.7M,2,Yes,,,New-True,5408 18th,
110,ave J,18x55 on 18x100,,2500,,1.75M,2,No,,,old-false,123 ave j,
111,low 40's/14,20x50 on 20x100,shul,2800,,2.2M,2,Yes,,,New-True,1337 42nd,
112,mid 50's/ 11,16x50 on 20 x100,5,2400,,2.5M,2,No,,,,1114 57th,
113,Hi 50's/21,22x70 on 34x100,6,5280,,4.9M,2,Yes,,,,2143 59th,
114,East 5th,20x40 on 28x100,,Unknown,,2.5M,3,No,,,,789 E 5th,
115,East 5th,20x55 on 27x100,,Unknown,,2.8M,3,No,,,,787 E 5th,
116,mid 50's/16,20x50 on 20x100,,Unknown,,2.3m,3,yes,,,,1630 55th,
117,webster,18x44 on 18x110,3,2376,,2m,3,No,,,,118 webster,
118,Hi40's/17,23x60 on 30x100,6,4000,,3.9M,3,yes,,,,1734 47th,
119,60's/18,18x62 on 18x100,4,2500,,2.1M,3,no,,,,1852 60th,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,window,,,,,,,
,,,,,,1,,,,,,,
,,,,,,15,,,,,,,
,,,,,,30,,,,,,,